2.70015 5 5 2 2 3
2.70087 4.99779 4.99779 2 2 3
2.70164 4.99564 4.99564 2 2 3
2.70315 4.99129 4.99129 2 2 3
2.70506 4.9858 4.9858 2 2 3
2.707 4.98027 4.98027 2 2 3
2.70897 4.97468 4.97468 2 2 3
2.71096 4.96905 4.96905 2 2 3
2.71297 4.96338 4.96338 2 2 3
2.71501 4.95766 4.95766 2 2 3
2.71707 4.9519 4.9519 2 2 3
2.71916 4.9461 4.9461 2 2 3
2.72128 4.94025 4.94025 2 2 3
2.72342 4.93435 4.93435 2 2 3
2.72559 4.92841 4.92841 2 2 3
2.72778 4.92243 4.92243 2 2 3
2.73001 4.9164 4.9164 2 2 3
2.73226 4.91032 4.91032 2 2 3
2.73454 4.90419 4.90419 2 2 3
2.73685 4.89802 4.89802 2 2 3
2.73919 4.89181 4.89181 2 2 3
2.74157 4.88554 4.88554 2 2 3
2.74397 4.87923 4.87923 2 2 3
2.74641 4.87287 4.87287 2 2 3
2.74887 4.86646 4.86646 2 2 3
2.75138 4.86 4.86 2 2 3
2.75391 4.8535 4.8535 2 2 3
2.75648 4.84694 4.84694 2 2 3
2.75909 4.84034 4.84034 2 2 3
2.76174 4.83369 4.83369 2 2 3
2.76442 4.82698 4.82698 2 2 3
2.76714 4.82023 4.82023 2 2 3
2.7699 4.81343 4.81343 2 2 3
2.7727 4.80657 4.80657 2 2 3
2.77554 4.79966 4.79966 2 2 3
2.77842 4.79271 4.79271 2 2 3
2.78134 4.7857 4.7857 2 2 3
2.78431 4.77864 4.77864 2 2 3
2.78733 4.77153 4.77153 2 2 3
2.79039 4.76436 4.76436 2 2 3
2.7935 4.75714 4.75714 2 2 3
2.79666 4.74987 4.74987 2 2 3
2.79987 4.74255 4.74255 2 2 3
2.80313 4.73517 4.73517 2 2 3
2.80645 4.72774 4.72774 2 2 3
2.80982 4.72026 4.72026 2 2 3
2.81325 4.71272 4.71272 2 2 3
2.81674 4.70512 4.70512 2 2 3
2.82028 4.69748 4.69748 2 2 3
2.82389 4.68977 4.68977 2 2 3
2.82756 4.68201 4.68201 2 2 3
2.8313 4.6742 4.6742 2 2 3
2.83511 4.66633 4.66633 2 2 3
2.83899 4.6584 4.6584 2 2 3
2.84294 4.65042 4.65042 2 2 3
2.84697 4.64238 4.64238 2 2 3
2.85108 4.63429 4.63429 2 2 3
2.85526 4.62613 4.62613 2 2 3
2.85954 4.61792 4.61792 2 2 3
